Date;day;dayOfWeek;month;trimester;year;is_holiday;portugueseWeekName
13/10/2022;13;5;10;4;2022;0;Quinta-feira
14/10/2022;14;6;10;4;2022;0;Sexta-feira
15/10/2022;15;7;10;4;2022;0;S‡bado
16/10/2022;16;1;10;4;2022;0;Domingo
17/10/2022;17;2;10;4;2022;0;Segunda-feira
18/10/2022;18;3;10;4;2022;0;Tera-feira
19/10/2022;19;4;10;4;2022;0;Quarta-feira
20/10/2022;20;5;10;4;2022;0;Quinta-feira
21/10/2022;21;6;10;4;2022;0;Sexta-feira
22/10/2022;22;7;10;4;2022;0;S‡bado
23/10/2022;23;1;10;4;2022;0;Domingo
24/10/2022;24;2;10;4;2022;0;Segunda-feira
25/10/2022;25;3;10;4;2022;0;Tera-feira
26/10/2022;26;4;10;4;2022;0;Quarta-feira
27/10/2022;27;5;10;4;2022;0;Quinta-feira
28/10/2022;28;6;10;4;2022;0;Sexta-feira
29/10/2022;29;7;10;4;2022;0;S‡bado
30/10/2022;30;1;10;4;2022;0;Domingo
31/10/2022;31;2;10;4;2022;0;Segunda-feira
01/11/2022;1;3;11;4;2022;1;Tera-feira
02/11/2022;2;4;11;4;2022;0;Quarta-feira
03/11/2022;3;5;11;4;2022;0;Quinta-feira
04/11/2022;4;6;11;4;2022;0;Sexta-feira
05/11/2022;5;7;11;4;2022;0;S‡bado
06/11/2022;6;1;11;4;2022;0;Domingo
07/11/2022;7;2;11;4;2022;0;Segunda-feira
08/11/2022;8;3;11;4;2022;0;Tera-feira
09/11/2022;9;4;11;4;2022;0;Quarta-feira
10/11/2022;10;5;11;4;2022;0;Quinta-feira
11/11/2022;11;6;11;4;2022;0;Sexta-feira
12/11/2022;12;7;11;4;2022;0;S‡bado
13/11/2022;13;1;11;4;2022;0;Domingo
14/11/2022;14;2;11;4;2022;0;Segunda-feira
15/11/2022;15;3;11;4;2022;0;Tera-feira
16/11/2022;16;4;11;4;2022;0;Quarta-feira
17/11/2022;17;5;11;4;2022;0;Quinta-feira
18/11/2022;18;6;11;4;2022;0;Sexta-feira
19/11/2022;19;7;11;4;2022;0;S‡bado
20/11/2022;20;1;11;4;2022;0;Domingo
21/11/2022;21;2;11;4;2022;0;Segunda-feira
22/11/2022;22;3;11;4;2022;0;Tera-feira
23/11/2022;23;4;11;4;2022;0;Quarta-feira
24/11/2022;24;5;11;4;2022;0;Quinta-feira
25/11/2022;25;6;11;4;2022;0;Sexta-feira
26/11/2022;26;7;11;4;2022;0;S‡bado
27/11/2022;27;1;11;4;2022;0;Domingo
28/11/2022;28;2;11;4;2022;0;Segunda-feira
29/11/2022;29;3;11;4;2022;0;Tera-feira
30/11/2022;30;4;11;4;2022;0;Quarta-feira
01/12/2022;1;5;12;4;2022;1;Quinta-feira
02/12/2022;2;6;12;4;2022;0;Sexta-feira
03/12/2022;3;7;12;4;2022;0;S‡bado
04/12/2022;4;1;12;4;2022;0;Domingo
05/12/2022;5;2;12;4;2022;0;Segunda-feira
06/12/2022;6;3;12;4;2022;0;Tera-feira
07/12/2022;7;4;12;4;2022;0;Quarta-feira
08/12/2022;8;5;12;4;2022;1;Quinta-feira
