Hotel ID;Facility ID;Nome
543;1048;Sofa Bed
525;1049;Bathrobe
525;1050;Sitting room
290;1051;Reception between 08.00 am and midnight
314;1052;Bathtub
426;1053;Outdoors Picnic area
426;1054;Outdoor Furniture
426;1055;Daily housekeeping
426;1056;Accessible and Secured parking
426;1057;Pool bar
426;1058;Pool/beach towels
426;1059;Outdoor pool (seasonal)
426;1060;Luggage storage
426;1061;Express check-in/check-out
426;1062;Emergency cord in bathroom
426;1063;Wheelchair accessible
426;1064;Strollers
550;1065;Hiking
550;1066;Fishing
550;1067;Outdoor dining area
551;1068;Interconnected room(s) available
545;1069;1 Bathroom
545;1070;2 Bathrooms
545;1071;Entire unit wheelchair accessible
545;1072;Pets not allowed
545;1073;Heating
545;1074;Dining Area
545;1075;Free Internet / Wi-Fi
545;1076;Upper floors accessible by lift
545;1077;Non-Smoking throughout all areas
545;1078;Airport Shuttle (additional cost)
545;1079;1 Bathroom
545;1080;2 Bathrooms
545;1081;Entire unit wheelchair accessible
545;1082;Pets not allowed
545;1083;Heating
545;1084;Dining Area
545;1085;Cable Channels and flat screen TV
545;1086;Electric Kettle
545;1087;Fully equipped kitchen
545;1088;Public Parking
545;1089;Iron and ironing board
545;1090;Oven
545;1091;Refrigerator
545;1092;Free Internet / Wi-Fi
545;1093;Bed Linen and Towels provided
545;1094;Microwave
545;1095;Coffee Machine
545;1096;Dishwasher
545;1097;Washing Machine
545;1098;Gas Stovetop
545;1099;Non-Smoking throughout all areas
545;1100;Airport Shuttle (additional cost)
545;1101;Terrace and Balcony
545;1102;Balcony
552;1103;1 Bathroom
552;1104;Pets not allowed
552;1105;Free Internet / Wi-fi
552;1106;Upper floors accessible by lift
552;1107;Non-smoking throughout all areas
552;1108;Airport Shuttle (additional cost)
552;1109;Dining Area
552;1110;1 Bathroom
552;1111;Pets Not Allowed
552;1112;Dining Area
552;1113;Cable Channels and flatscreen TV
552;1114;Elecric Kettle
552;1115;Fully equiped kitchen
552;1116;Private Parking (additional cost)
